AirPressureShallow,AirPressureDeep,1226420,1226429,datetime,1226419,1226421,2151691,2149882,1226423,2151692
0.0,-0.0038438070074278,-14.560545515096564,-14.631136978044571,2022-10-04,-2.318304394587162,-2.7389525339184027,-5.904816409263288,-6.14974560471793,-2.161530582797615,-5.670621870135818
0.0,-0.0037038070074295,-14.664959291096569,-14.625568906044574,2022-10-05,-2.345774618371493,-2.766601509734881,-5.9368759780151406,-6.181550751419685,-2.189938274176809,-5.703038556186581
0.0036538070074296,0.0,-14.62605298608913,-14.630789419037136,2022-10-06,-2.3081970855829086,-2.7293838742608765,-5.902165446570802,-6.146631554423903,-2.1522743884358264,-5.668352349860189
0.0038338070074281,0.0,-14.629896402089132,-14.63202194303714,2022-10-07,-2.236572197038515,-2.6581330337209583,-5.8292345429281776,-6.073517600179147,-2.079662589305283,-5.594186721675827
0.0037938070074297,0.0,-14.490741746089135,-14.642730695037134,2022-10-08,-2.209053846706549,-2.630758792349956,-5.802127612989594,-6.046163167805399,-2.0518755859734834,-5.566944615170764
0.0,-0.0036438070074282,-14.484558431096566,-14.663753090044573,2022-10-09,-2.2447044896075363,-2.6669094487919627,-5.844124570678905,-6.087838357775437,-2.0880877910418043,-5.608736881126189
0.0036538070074279,0.0,-14.418700548089133,-14.612783139037136,2022-10-10,-2.2552803364224228,-2.677681445106156,-5.8538764897608,-6.09748089744515,-2.098951449327275,-5.618262529641029
0.0,-0.0038938070074294,-14.43896003709656,-14.616797774044572,2022-10-11,-2.1610625479341525,-2.5836634944224075,-5.7533870300199705,-5.996986422002936,-2.003832170610359,-5.517335220413428
0.0036838070074285,0.0,-14.422301336089136,-14.612772651037144,2022-10-12,-2.168131549083769,-2.5910520985387544,-5.763599634313215,-6.006773899553149,-2.0157037633677124,-5.531703372309404
0.0037538070074294,0.0,-14.398264726089131,-14.615874243037142,2022-10-13,-2.153750324649982,-2.5769512281889604,-5.750237957700022,-5.993298016249143,-1.9965415876340296,-5.514268230494326
0.0034938070074286,0.0,-14.501580508089138,-14.636573263037144,2022-10-14,-2.109695561918501,-2.533105884699956,-5.703648011729213,-5.946679940447645,-1.9526272909667344,-5.46795366012491
0.0,-0.0032638070074284,-14.582594533096565,-14.706078814044574,2022-10-15,-2.0965433846925365,-2.5201521918687644,-5.6923474319214815,-5.935457373990183,-1.9401543320910184,-5.457267929082583
0.0,-0.0035438070074285,-14.47387493909657,-14.752555398044567,2022-10-16,-2.1030295358854363,-2.526935655897128,-5.700374753332441,-5.943386562296684,-1.9486125338842777,-5.467000649031292
0.0,-0.0038038070074293273,-14.476333203096562,-14.785420386044573,2022-10-18,-2.118027913056018,-2.542186819073928,-5.718223944363582,-5.960727379581437,-1.9602141243656048,-5.48180170421251
0.0,-0.00399380700742924,-14.48896856109657,-14.84315738204457,2022-10-19,-2.033937445063854,-2.4583529027309066,-5.628328729373401,-5.870610731991686,-1.8759806404089407,-5.392098173963474
0.0,-0.0035338070074288908,-14.498253429096563,-14.667566450044566,2022-10-21,-1.9901110099394315,-2.414872583342925,-5.582390025894485,-5.824795316055684,-1.8322230592805075,-5.346645049449203
0.0,-0.0033838070074292403,-14.497622803096565,-14.630180430044565,2022-10-22,-1.9894305956671134,-2.4142570005614448,-5.5828441233399415,-5.825214556696688,-1.8328291532699836,-5.3483632561317105
0.0,-0.0037038070074295604,-14.497638893096564,-14.634395150044565,2022-10-23,-1.972948885628956,-2.398027467670886,-5.5660634735623455,-5.808333933880433,-1.8165399404417577,-5.332168660459247
0.0,-0.0035538070074281336,-14.493725759096563,-14.631645742044563,2022-10-24,-1.983405159214515,-2.4087242868139604,-5.577480143580189,-5.819664697884183,-1.8251300013656986,-5.342976462321696
0.0,-0.0036138070074276385,-14.489906979096563,-14.638042626044571,2022-10-25,-2.011967668332427,-2.4374074870372833,-5.608601414796007,-5.850636847249937,-1.8567082370310868,-5.376356896130707
0.0,-0.0036838070074303175,-14.487112967096566,-14.641503034044574,2022-10-26,-2.1305085733552813,-2.556315815036009,-5.739332494795446,-5.980705166361684,-1.975984169364773,-5.504322000836663
0.0,-0.003593807007430172,-14.484539495096561,-14.668475182044572,2022-10-27,-2.146037852041192,-2.5718896310972013,-5.756195578124409,-5.997253324951681,-1.9914608461851102,-5.519287328323376
0.0,-0.0034138070074281046,-14.49625077509656,-14.622368254044572,2022-10-28,-2.150707549472888,-2.5768247072218893,-5.759742704076131,-5.999984646441184,-1.9999375324713795,-5.523404779090493
0.003613807007429415,0.0,-14.48707380808914,-14.617157971037134,2022-10-29,-2.1539419576275947,-2.5801313994094377,-5.762326778105402,-6.0022610338371525,-1.9966192554473665,-5.527968205826085
0.0,-0.0034138070074281046,-14.49007477509656,-14.634402770044568,2022-10-30,-2.1890876036274034,-2.615531531438723,-5.801368870386425,-6.037586991981433,-2.032518434664434,-5.567445887893955
0.0034138070074281046,0.0,-14.482836996089137,-14.614895379037135,2022-10-31,-2.2159023566620952,-2.6425293428093135,-5.828498077103177,-6.059679565518144,-2.059246581397109,-5.594608658013538
0.003563807007427755,0.0,-14.463024246089137,-14.621463703037142,2022-11-01,-2.2129134985223864,-2.639688169444601,-5.825711881000182,-6.053748959147144,-2.061359665628643,-5.592863522391257
0.003613807007429415,0.0,-14.50553621208913,-14.622930359037145,2022-11-02,-2.2090808558436708,-2.6360239204677187,-5.822188662240734,-6.052855234139901,-2.0556158649566396,-5.591455656422385
0.003743807007428046,0.0,-14.529517604089135,-14.626598107037138,2022-11-03,-2.1773407044480657,-2.6043361674730803,-5.787772882342616,-6.021731414998394,-2.044108774567166,-5.579034473142685
0.003173807007430085,0.0,-14.490388228089138,-14.621464731037134,2022-11-04,-2.1645485764050316,-2.5917757825511574,-5.774554132829718,-6.0086854062691515,-2.0046173668594403,-5.552879024214438
0.0,-0.0033438070074289783,-14.49019621909657,-14.627925106044572,2022-11-05,-2.193347018232962,-2.6206269384584844,-5.807666985507822,-6.042011218147182,-2.0368725788949726,-5.575298484413774
0.0,-0.00350380700742825,-14.537493265096563,-14.629423030044569,2022-11-06,-2.202190319873642,-2.6296381050923667,-5.817978885075028,-6.052228705959432,-2.045661948491853,-5.586106870565853
0.0,-0.0035238070074292693,-14.601537809096566,-14.632615498044574,2022-11-07,-2.1765962271351946,-2.604117423407967,-5.790157124181481,-6.0244671257486795,-2.019829780349934,-5.5582695877048085
0.0,-0.003443807007426969,-14.637049803096565,-14.634032282044565,2022-11-08,-2.106212065202695,-2.5338910514755653,-5.710465524729392,-5.945176420325934,-1.949427763597756,-5.479366358440162
0.003663807007427522,0.0,-14.63731743608914,-14.62518173903714,2022-11-09,-1.9977689081456111,-2.425568923700555,-5.590966298039042,-5.825992104313145,-1.8402470496938423,-5.359419316937874
0.0031738070074283087,0.0,-14.50482077208914,-14.625429923037139,2022-11-10,-2.136801561695468,-2.564919585654396,-5.7167473462087575,-5.951828592364649,-1.9792437994691405,-5.4851608065005415
0.0,-0.0034438070074287452,-14.520365945096568,-14.64051366204457,2022-11-11,-2.387265667986127,-2.815656016969644,-5.990751924170483,-6.225238677535686,-2.2361330464990092,-5.756126077935684
0.0,-0.003433807007429124,-14.520151729096565,-14.64292621404457,2022-11-12,-2.3809331853969846,-2.809403784196445,-5.986292801828354,-6.220731735184433,-2.2237663681717863,-5.754844440784528
0.003363807007428221,0.0,-14.515886000089134,-14.641588511037137,2022-11-13,-2.348012501435834,-2.776704146849437,-5.955787171050982,-6.1898552434188945,-2.190742326982999,-5.724597954117059
0.0,-0.003063807007427144,-14.525785095096564,-14.648503086044569,2022-11-14,-2.3460018013805954,-2.775094856876921,-5.942320774265265,-6.176511778422685,-2.188812894951088,-5.7113795888926076
0.0,-0.0032138070074285707,-14.524532377096568,-14.64992997404457,2022-11-15,-2.3431282579700023,-2.7722310193476862,-5.943198717460226,-6.177577597389188,-2.185298254131755,-5.712687348801852
0.0,-0.0034138070074281046,-14.523419899096563,-14.652315774044572,2022-11-16,-2.3150843424240053,-2.7443561387033606,-5.9175868785319,-6.1521112243469345,-2.158050614795367,-5.687107782313514
0.0033738070074278426,0.0,-14.560589524089133,-14.64995994303714,2022-11-17,-2.2336437016767285,-2.6631880788981537,-5.8308676648592614,-6.065472018634145,-2.0759746703618314,-5.599954641219101
0.003333807007429357,0.0,-14.630665528089141,-14.65132631503714,2022-11-18,-2.2263892665229084,-2.655999331574438,-5.82517646507238,-6.059771140385647,-2.079448982770133,-5.598260334797035
0.0,-0.003763807007427289,-14.746328059096566,-14.658201130044562,2022-11-19,-2.1960655192410186,-2.6259046824643235,-5.795317361285949,-6.030073405928688,-2.0616226389546517,-5.587905657721418
0.0,-0.003863807007428832,-14.687971167096563,-14.663470830044572,2022-11-20,-2.1359919976773436,-2.5658921487078024,-5.72964654266766,-5.964295811366437,-9.33857126606775,-5.503927057997821
0.0034938070074286287,0.0,-14.620616354089133,-14.655029731037134,2022-11-21,-2.1855371525113423,-2.6155778686784386,-5.785320678236979,-6.019682229599642,-2.0293023080813684,-5.554128607827554
0.0,-0.003913807007428716,-14.536320257096559,-14.646549834044563,2022-11-22,-2.3063722195839222,-2.736682630239204,-5.88416832187266,-6.117844067119183,-2.1719454992571454,-5.6410989786663315
0.0,-0.0035438070074302885,-14.53818079309656,-14.660877486044566,2022-11-23,-2.410922736082925,-2.8422670842924807,-5.969251974669629,-6.2029386856989355,-2.2549727516246802,-5.737782800787399
0.0,-0.0035838070074287742,-14.536347437096566,-14.656231986044565,2022-11-24,-2.417896147830112,-2.849448134405845,-5.988459724735445,-6.222128770427936,-2.263166682724822,-5.756255706878884
0.0,-0.003713807007429182,-14.53449111109656,-14.658061162044572,2022-11-25,-2.4005890406426573,-2.8322193731207626,-5.981823027975721,-6.215556559951688,-2.2461239134285966,-5.748132185492878
0.0,-0.0036238070074290363,-14.532578009096564,-14.65893667804457,2022-11-26,-2.3597106855979484,-2.791395456083081,-5.945699031239829,-6.179430907485935,-2.2061067476404546,-5.7110166100551725
0.0,-0.0038138070074289487,-14.531478589096565,-14.654245830044573,2022-11-27,-2.379720190678178,-2.8113397999326457,-5.972063080542727,-6.205897907328933,-2.2138452349380486,-5.742532651017172
0.0,-0.0034238070074295024,-14.53971501909656,-14.653372322044568,2022-11-28,-2.315130075721361,-2.746878987282604,-5.910474806616244,-6.144247228206187,-2.1621943588744466,-5.6739099329844755
0.0,-0.0037438070074298224,-14.563437687096567,-14.660267682044573,2022-11-29,-2.288192076630108,-2.720031696876601,-5.885943154592944,-6.119589245049934,-2.13457369256699,-5.648873527069548
0.0,-0.003843807007427813,-14.552736119096563,-14.664648654044566,2022-11-30,-2.2843744058270374,-2.716353428683929,-5.885134543942964,-6.118746826575934,-2.1241877668968066,-5.654532724801788
0.003423807007427726,0.0,-14.587111624089138,-14.667707187037143,2022-12-01,-2.199209910531343,-2.6313715544146015,-5.7943931750731,-6.027967804089147,-2.0421624312819437,-5.5561476823311
0.0,-0.00318380700742793,-14.58467521509656,-14.672827814044574,2022-12-02,-2.2010629611900474,-2.633247773339007,-5.797745629373434,-6.031278010913185,-13.605250766105627,-5.565873797386497
