,datetime,Average Wind Speed
237,2022-07-22 11:15:00,1.3333333333333333
238,2022-07-22 11:30:00,1.3333333333333333
239,2022-07-22 11:45:00,
240,2022-07-22 12:00:00,1.4444444444444446
241,2022-07-22 12:15:00,1.711111111111111
242,2022-07-22 12:30:00,2.125
243,2022-07-22 12:45:00,2.1666666666666665
244,2022-07-22 13:00:00,2.1666666666666665
245,2022-07-22 13:15:00,2.75
246,2022-07-22 13:30:00,2.375
247,2022-07-22 13:45:00,2.75
248,2022-07-22 14:00:00,3.0714285714285716
249,2022-07-22 14:15:00,2.3988095238095237
250,2022-07-22 14:30:00,2.4583333333333335
251,2022-07-22 14:45:00,2.607142857142857
252,2022-07-22 15:00:00,3.2083333333333335
253,2022-07-22 15:15:00,3.9166666666666665
254,2022-07-22 15:30:00,4.333333333333333
255,2022-07-22 15:45:00,4.833333333333333
256,2022-07-22 16:00:00,5.125
257,2022-07-22 16:15:00,4.821428571428572
258,2022-07-22 16:30:00,5.041666666666667
259,2022-07-22 16:45:00,5.065476190476191
260,2022-07-22 17:00:00,5.571428571428572
261,2022-07-22 17:15:00,5.761904761904762
262,2022-07-22 17:30:00,5.809523809523809
263,2022-07-22 17:45:00,6.0
264,2022-07-22 18:00:00,6.428571428571428
265,2022-07-22 18:15:00,6.476190476190477
266,2022-07-22 18:30:00,6.607142857142857
267,2022-07-22 18:45:00,7.083333333333333
268,2022-07-22 19:00:00,7.416666666666667
269,2022-07-22 19:15:00,6.916666666666667
270,2022-07-22 19:30:00,7.041666666666667
271,2022-07-22 19:45:00,6.958333333333333
272,2022-07-22 20:00:00,6.75
273,2022-07-22 20:15:00,6.916666666666667
274,2022-07-22 20:30:00,6.541666666666667
275,2022-07-22 20:45:00,6.625
276,2022-07-22 21:00:00,6.708333333333333
277,2022-07-22 21:15:00,6.791666666666667
278,2022-07-22 21:30:00,6.958333333333333
279,2022-07-22 21:45:00,7.5
280,2022-07-22 22:00:00,7.25
281,2022-07-22 22:15:00,6.833333333333333
282,2022-07-22 22:30:00,6.458333333333333
283,2022-07-22 22:45:00,6.0
284,2022-07-22 23:00:00,5.333333333333333
285,2022-07-22 23:15:00,5.208333333333333
286,2022-07-22 23:30:00,5.333333333333333
287,2022-07-22 23:45:00,5.041666666666667
288,2022-07-23 00:00:00,4.625
289,2022-07-23 00:15:00,4.0
290,2022-07-23 00:30:00,3.9583333333333335
291,2022-07-23 00:45:00,3.1666666666666665
292,2022-07-23 01:00:00,3.125
293,2022-07-23 01:15:00,
294,2022-07-23 01:30:00,
295,2022-07-23 01:45:00,
296,2022-07-23 02:00:00,3.375
297,2022-07-23 02:15:00,3.375
298,2022-07-23 02:30:00,3.0833333333333335
299,2022-07-23 02:45:00,3.0833333333333335
300,2022-07-23 03:00:00,3.0
301,2022-07-23 03:15:00,2.875
302,2022-07-23 03:30:00,2.9583333333333335
303,2022-07-23 03:45:00,2.875
304,2022-07-23 04:00:00,2.7083333333333335
305,2022-07-23 04:15:00,2.625
306,2022-07-23 04:30:00,2.805555555555556
307,2022-07-23 04:45:00,2.5
308,2022-07-23 05:00:00,2.316666666666667
309,2022-07-23 05:15:00,2.3055555555555554
310,2022-07-23 05:30:00,2.0
311,2022-07-23 05:45:00,1.8777777777777775
312,2022-07-23 06:00:00,1.9166666666666667
313,2022-07-23 06:15:00,1.75
314,2022-07-23 06:30:00,1.4166666666666667
315,2022-07-23 06:45:00,1.3333333333333333
316,2022-07-23 07:00:00,1.0
317,2022-07-23 07:15:00,1.1666666666666667
318,2022-07-23 07:30:00,2.3333333333333335
319,2022-07-23 07:45:00,1.5666666666666667
320,2022-07-23 08:00:00,1.0
321,2022-07-23 08:15:00,1.6666666666666667
322,2022-07-23 08:30:00,1.5
323,2022-07-23 08:45:00,1.25
324,2022-07-23 09:00:00,1.0
325,2022-07-23 09:15:00,1.0
326,2022-07-23 09:30:00,1.3333333333333333
327,2022-07-23 09:45:00,1.0
328,2022-07-23 10:00:00,1.25
329,2022-07-23 10:15:00,1.5333333333333332
330,2022-07-23 10:30:00,3.1666666666666665
331,2022-07-23 10:45:00,3.0
332,2022-07-23 11:00:00,1.888888888888889
333,2022-07-23 11:15:00,2.5
334,2022-07-23 11:30:00,2.1666666666666665
335,2022-07-23 11:45:00,2.111111111111111
336,2022-07-23 12:00:00,2.4047619047619047
337,2022-07-23 12:15:00,2.642857142857143
338,2022-07-23 12:30:00,3.0416666666666665
339,2022-07-23 12:45:00,3.0416666666666665
340,2022-07-23 13:00:00,3.5833333333333335
341,2022-07-23 13:15:00,3.9166666666666665
342,2022-07-23 13:30:00,4.041666666666667
343,2022-07-23 13:45:00,3.8333333333333335
344,2022-07-23 14:00:00,4.5
345,2022-07-23 14:15:00,4.833333333333333
346,2022-07-23 14:30:00,4.916666666666667
347,2022-07-23 14:45:00,4.958333333333333
348,2022-07-23 15:00:00,4.916666666666667
349,2022-07-23 15:15:00,4.833333333333333
350,2022-07-23 15:30:00,4.708333333333333
351,2022-07-23 15:45:00,5.25
352,2022-07-23 16:00:00,4.833333333333333
