file,datetime,uploaddir,sampratedir
HOF-IW0006I68.dat,2022-04-09 08:00:00,20220413,
HOF-IW0006S69.dat,2022-04-09 08:00:00,20220413,
HOF-IW0006I69.dat,2022-04-09 12:00:00,20220413,
HOF-IW0006S70.dat,2022-04-09 12:00:00,20220413,
HOF-IW0006I70.dat,2022-04-09 16:00:00,20220413,
HOF-IW0006S71.dat,2022-04-09 16:00:00,20220413,
HOF-IW0006I71.dat,2022-04-09 20:00:00,20220413,
HOF-IW0006S72.dat,2022-04-09 20:00:00,20220413,
HOF-IW0006S73.dat,2022-04-10 00:00:00,20220413,
HOF-IW0006I72.dat,2022-04-10 00:00:00,20220413,
HOF-IW0006S74.dat,2022-04-10 04:00:00,20220413,
HOF-IW0006I73.dat,2022-04-10 04:00:00,20220413,
HOF-IW0006S75.dat,2022-04-10 08:00:00,20220413,
HOF-IW0006I74.dat,2022-04-10 08:00:00,20220413,
HOF-IW0006S76.dat,2022-04-10 12:00:00,20220413,
HOF-IW0006I75.dat,2022-04-10 12:00:00,20220413,
HOF-IW0006I76.dat,2022-04-10 16:00:00,20220413,
HOF-IW0006S77.dat,2022-04-10 16:00:00,20220413,
HOF-IW0006S78.dat,2022-04-10 20:00:00,20220413,
HOF-IW0006I77.dat,2022-04-10 20:00:00,20220413,
HOF-IW0006I78.dat,2022-04-11 00:00:00,20220413,
HOF-IW0006S79.dat,2022-04-11 00:00:00,20220413,
HOF-IW0006S80.dat,2022-04-11 04:00:00,20220413,
HOF-IW0006I79.dat,2022-04-11 04:00:00,20220413,
HOF-IW0006S81.dat,2022-04-11 08:00:00,20220413,
HOF-IW0006I80.dat,2022-04-11 08:00:00,20220413,
HOF-IW0006S82.dat,2022-04-11 12:00:00,20220413,
HOF-IW0006I81.dat,2022-04-11 12:00:00,20220413,
HOF-IW0006I82.dat,2022-04-11 16:00:00,20220413,
HOF-IW0006S83.dat,2022-04-11 16:00:00,20220413,
HOF-IW0006I83.dat,2022-04-11 20:00:00,20220413,
HOF-IW0006S84.dat,2022-04-11 20:00:00,20220413,
HOF-IW0006I84.dat,2022-04-12 00:00:00,20220413,
HOF-IW0006S85.dat,2022-04-12 00:00:00,20220413,
HOF-IW0006I85.dat,2022-04-12 04:00:00,20220413,
HOF-IW0006S86.dat,2022-04-12 04:00:00,20220413,
HOF-IW0006I86.dat,2022-04-12 08:00:00,20220413,
HOF-IW0006S87.dat,2022-04-12 08:00:00,20220413,
HOF-IW0006S88.dat,2022-04-12 12:00:00,20220413,
HOF-IW0006I87.dat,2022-04-12 12:00:00,20220413,
HOF-IW0006I88.dat,2022-04-12 16:00:00,20220413,
HOF-IW0006S89.dat,2022-04-12 16:00:00,20220413,
HOF-IW0006I89.dat,2022-04-12 20:00:00,20220413,
HOF-IW0006S90.dat,2022-04-12 20:00:00,20220413,
HOF-IW0006S91.dat,2022-04-13 00:00:00,20220413,
HOF-IW0006I90.dat,2022-04-13 00:00:00,20220413,
HOF-IW0006S92.dat,2022-04-13 04:00:00,20220413,
HOF-IW0006I91.dat,2022-04-13 04:00:00,20220413,
HOF-IW0006I92.dat,2022-04-13 06:52:26,20220421,
HOF-IW0006S93.dat,2022-04-13 06:52:42,20220421,
HOF-IW0006I93.dat,2022-04-13 08:00:00,20220421,
HOF-IW0006S94.dat,2022-04-13 08:00:00,20220421,
HOF-IW0006I94.dat,2022-04-13 12:00:00,20220421,
HOF-IW0006S95.dat,2022-04-13 12:00:00,20220421,
HOF-IW0006I95.dat,2022-04-13 16:00:00,20220421,
HOF-IW0006S96.dat,2022-04-13 16:00:00,20220421,
HOF-IW0006I96.dat,2022-04-13 20:00:00,20220421,
HOF-IW0006S97.dat,2022-04-13 20:00:00,20220421,
HOF-IW0006I97.dat,2022-04-14 00:00:00,20220421,
HOF-IW0006S98.dat,2022-04-14 00:00:00,20220421,
HOF-IW0006I98.dat,2022-04-14 04:00:00,20220421,
HOF-IW0006S99.dat,2022-04-14 04:00:00,20220421,
HOF-IW0006I99.dat,2022-04-14 08:00:00,20220421,
HOF-IW0006S100.dat,2022-04-14 08:00:00,20220421,
HOF-IW0006I100.dat,2022-04-14 12:00:00,20220421,
HOF-IW0006S101.dat,2022-04-14 12:00:00,20220421,
HOF-IW0006I101.dat,2022-04-14 16:00:00,20220421,
HOF-IW0006S102.dat,2022-04-14 16:00:00,20220421,
HOF-IW0006I102.dat,2022-04-14 20:00:00,20220421,
HOF-IW0006S103.dat,2022-04-14 20:00:00,20220421,
HOF-IW0006I103.dat,2022-04-15 00:00:00,20220421,
HOF-IW0006S104.dat,2022-04-15 00:00:00,20220421,
HOF-IW0006I104.dat,2022-04-15 04:00:00,20220421,
HOF-IW0006S105.dat,2022-04-15 04:00:00,20220421,
HOF-IW0006I105.dat,2022-04-15 08:00:00,20220421,
HOF-IW0006S106.dat,2022-04-15 08:00:00,20220421,
HOF-IW0006I106.dat,2022-04-15 12:00:00,20220421,
HOF-IW0006S107.dat,2022-04-15 12:00:00,20220421,
HOF-IW0006I107.dat,2022-04-15 16:00:00,20220421,
HOF-IW0006S108.dat,2022-04-15 16:00:00,20220421,
HOF-IW0006S109.dat,2022-04-15 20:00:00,20220421,
HOF-IW0006I108.dat,2022-04-15 20:00:00,20220421,
HOF-IW0006I109.dat,2022-04-16 00:00:00,20220421,
HOF-IW0006S110.dat,2022-04-16 00:00:00,20220421,
HOF-IW0006S111.dat,2022-04-16 04:00:00,20220421,
HOF-IW0006I110.dat,2022-04-16 04:00:00,20220421,
HOF-IW0006I111.dat,2022-04-16 08:00:00,20220421,
HOF-IW0006S112.dat,2022-04-16 08:00:00,20220421,
HOF-IW0006S113.dat,2022-04-16 12:00:00,20220421,
HOF-IW0006I112.dat,2022-04-16 12:00:00,20220421,
HOF-IW0006S114.dat,2022-04-16 16:00:00,20220421,
HOF-IW0006I113.dat,2022-04-16 16:00:00,20220421,
HOF-IW0006S115.dat,2022-04-16 20:00:00,20220421,
HOF-IW0006I114.dat,2022-04-16 20:00:00,20220421,
HOF-IW0006S116.dat,2022-04-17 00:00:00,20220421,
HOF-IW0006I115.dat,2022-04-17 00:00:00,20220421,
HOF-IW0006S117.dat,2022-04-17 04:00:00,20220421,
HOF-IW0006I116.dat,2022-04-17 04:00:00,20220421,
HOF-IW0006S118.dat,2022-04-17 08:00:00,20220421,
HOF-IW0006I117.dat,2022-04-17 08:00:00,20220421,
HOF-IW0006I118.dat,2022-04-17 12:00:00,20220421,
HOF-IW0006S119.dat,2022-04-17 12:00:00,20220421,
HOF-IW0006I119.dat,2022-04-17 16:00:00,20220421,
HOF-IW0006S120.dat,2022-04-17 16:00:00,20220421,
HOF-IW0006I120.dat,2022-04-17 20:00:00,20220421,
HOF-IW0006S121.dat,2022-04-17 20:00:00,20220421,
HOF-IW0006I121.dat,2022-04-18 00:00:00,20220421,
HOF-IW0006S122.dat,2022-04-18 00:00:00,20220421,
HOF-IW0006I122.dat,2022-04-18 04:00:00,20220421,
HOF-IW0006S123.dat,2022-04-18 04:00:00,20220421,
HOF-IW0006I123.dat,2022-04-18 08:00:00,20220421,
HOF-IW0006S124.dat,2022-04-18 08:00:00,20220421,
HOF-IW0006I124.dat,2022-04-18 12:00:00,20220421,
HOF-IW0006S125.dat,2022-04-18 12:00:00,20220421,
HOF-IW0006I125.dat,2022-04-18 16:00:00,20220421,
HOF-IW0006S126.dat,2022-04-18 16:00:00,20220421,
